household_size,has_ac,season_hot,season_rainy,weekend_ratio,energy_consumption_kwh
5,1,1,0,0.3225806451612903,18.9
2,0,1,0,0.3,3.2
1,1,1,0,0.3,3.5
4,0,0,0,0.2857142857142857,7.1
5,1,1,0,0.26666666666666666,18.4
3,1,1,0,0.26666666666666666,9.6
6,1,1,0,0.3225806451612903,20.0
5,0,0,0,0.25806451612903225,12.0
2,0,0,1,0.25806451612903225,4.9
4,1,0,0,0.25806451612903225,13.9
2,1,1,0,0.26666666666666666,5.8
4,0,0,0,0.25806451612903225,10.9
4,0,1,0,0.3225806451612903,10.3
5,0,0,0,0.25806451612903225,13.4
4,0,0,1,0.25806451612903225,10.3
3,1,1,0,0.3,12.7
5,1,0,1,0.26666666666666666,17.1
5,0,1,0,0.2903225806451613,9.8
2,1,0,1,0.25806451612903225,8.4
2,0,1,0,0.2903225806451613,5.5
5,1,1,0,0.3,17.4
5,0,0,1,0.3225806451612903,13.5
1,1,0,0,0.2857142857142857,6.9
3,0,0,0,0.2857142857142857,7.6
2,0,0,1,0.3225806451612903,3.9
5,1,1,0,0.3,18.2
3,1,1,0,0.2903225806451613,11.1
1,1,1,0,0.26666666666666666,4.0
6,1,1,0,0.3,20.0
4,1,0,0,0.3333333333333333,13.5
2,0,0,0,0.25806451612903225,1.8
5,0,1,0,0.2903225806451613,13.2
3,0,0,1,0.25806451612903225,9.5
4,1,0,0,0.25806451612903225,14.5
6,0,0,1,0.3225806451612903,16.7
4,1,0,0,0.25806451612903225,16.5
5,0,1,0,0.26666666666666666,13.5
6,1,1,0,0.26666666666666666,20.0
4,1,0,0,0.3333333333333333,15.3
3,0,0,1,0.25806451612903225,6.0
1,1,0,0,0.25806451612903225,3.9
6,1,0,0,0.2857142857142857,20.0
5,0,0,1,0.25806451612903225,14.2
6,1,0,0,0.3333333333333333,19.0
4,1,1,0,0.3225806451612903,13.8
6,1,1,0,0.3,20.0
6,1,0,1,0.25806451612903225,20.0
6,0,0,0,0.3333333333333333,17.5
5,0,1,0,0.26666666666666666,12.5
6,1,0,1,0.3225806451612903,20.0
3,1,1,0,0.3,9.1
2,1,0,1,0.25806451612903225,7.7
1,1,0,1,0.26666666666666666,6.3
6,1,0,0,0.25806451612903225,20.0
1,1,1,0,0.3,1.8
3,0,1,0,0.3225806451612903,7.8
2,0,0,0,0.25806451612903225,5.3
3,0,1,0,0.3225806451612903,6.9
6,1,0,0,0.25806451612903225,20.0
3,1,0,0,0.3333333333333333,12.1
5,0,0,1,0.26666666666666666,10.6
4,0,1,0,0.3,9.3
2,0,0,1,0.25806451612903225,6.9
3,1,0,0,0.25806451612903225,8.3
2,0,0,1,0.25806451612903225,3.3
6,0,1,0,0.2903225806451613,15.5
5,0,1,0,0.2903225806451613,13.7
1,0,0,1,0.3225806451612903,3.0
5,0,0,0,0.2857142857142857,13.7
4,1,0,0,0.2857142857142857,13.5
3,1,1,0,0.3,11.4
3,1,0,0,0.25806451612903225,11.2
4,0,1,0,0.2903225806451613,11.0
2,0,0,1,0.3225806451612903,5.8
5,1,1,0,0.26666666666666666,19.4
